finetuned_sub-08_sub-08 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-08', 'accuracy': 0.9436619718309859, 'f1': 0.9436507936507936, 'recall': 0.944047619047619, 'precision': 0.9447535771065183}
finetuned_sub-08_sub-01 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-01', 'accuracy': 0.4788732394366197, 'f1': 0.44307822768708927, 'recall': 0.4904610492845787, 'precision': 0.48636363636363633}
finetuned_sub-08_sub-06 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-06', 'accuracy': 0.6428571428571429, 'f1': 0.5996339510409517, 'recall': 0.6527777777777778, 'precision': 0.788135593220339}
finetuned_sub-08_sub-07 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-07', 'accuracy': 0.7083333333333334, 'f1': 0.6812144212523719, 'recall': 0.7083333333333334, 'precision': 0.8157894736842105}
finetuned_sub-08_sub-09 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-09', 'accuracy': 0.7, 'f1': 0.6811971372804164, 'recall': 0.707516339869281, 'precision': 0.7819089900110987}
finetuned_sub-08_sub-10 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-10', 'accuracy': 0.75, 'f1': 0.737012987012987, 'recall': 0.75, 'precision': 0.8115384615384615}
finetuned_sub-08_sub-11 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-11', 'accuracy': 0.9027777777777778, 'f1': 0.9018500486854917, 'recall': 0.9027777777777778, 'precision': 0.9186046511627908}
finetuned_sub-08_sub-05 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-05', 'accuracy': 0.782608695652174, 'f1': 0.7702552719200888, 'recall': 0.7794117647058824, 'precision': 0.85}
finetuned_sub-08_sub-02 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-02', 'accuracy': 0.8055555555555556, 'f1': 0.803125, 'recall': 0.8055555555555556, 'precision': 0.8214285714285714}
finetuned_sub-08_sub-03 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-03', 'accuracy': 0.7285714285714285, 'f1': 0.7115593146822815, 'recall': 0.7285714285714285, 'precision': 0.7991452991452992}
finetuned_sub-08_sub-04 : {'model': 'finetuned_sub-08', 'test_subject': 'sub-04', 'accuracy': 0.6527777777777778, 'f1': 0.595959595959596, 'recall': 0.6428571428571428, 'precision': 0.7983870967741935}
sub-01_sub-08 : {'model': 'sub-01', 'test_subject': 'sub-08', 'accuracy': 0.5915492957746479, 'f1': 0.5282932416953036, 'recall': 0.5865079365079365, 'precision': 0.6786885245901639}
sub-01_sub-01 : {'model': 'sub-01', 'test_subject': 'sub-01', 'accuracy': 0.9859154929577465, 'f1': 0.9858706467661691, 'recall': 0.9852941176470589, 'precision': 0.986842105263158}
sub-01_sub-06 : {'model': 'sub-01', 'test_subject': 'sub-06', 'accuracy': 0.8, 'f1': 0.7973531844499586, 'recall': 0.7973856209150327, 'precision': 0.8095238095238095}
sub-01_sub-07 : {'model': 'sub-01', 'test_subject': 'sub-07', 'accuracy': 0.7777777777777778, 'f1': 0.7662337662337663, 'recall': 0.7777777777777778, 'precision': 0.8461538461538461}
sub-01_sub-09 : {'model': 'sub-01', 'test_subject': 'sub-09', 'accuracy': 0.8142857142857143, 'f1': 0.8111641419381614, 'recall': 0.8112745098039216, 'precision': 0.8281653746770026}
